name,prompt,seeds,guidance_scale,mask,cnet_scale
luna0,"the moon, she is rising, la luna, ancient cosmic design","3567, 7442, 6141, 5470, 6090, 1350, 5906",7.5,,
luna,"the moon, she is rising, la luna, ancient cosmic design","3567, 7442, 6141, 5470, 6090, 1350, 5906",7.5,,
shadow,"through the shadow of ancient skies, feel her pull, the ages flow, in and out, day and night, only the cosmos knows","3272, 7955, 2067, 6253, 2882, 4408, 5067, 8911",7.5,,
energy,"energy never dies, it just shifts and reforms, ancient cosmic design","2304, 4327, 8796, 8114,  2871, 8085, 5899",7.5,,
figures,two ethereal figures separated by lightyears who communicate through a reverberating sphere between them,"7112, 2605, 4638, 2350, 5332, 2606, 5936",7.5,,
cosmos1,"only the cosmos knows, she knows, symbols of ancient design","8741, 7967, 5348, 4053, 7712, 8848, 8066, 5213",7.5,,
plan,"life's plan, the fate of souls, what's above and below, why there's highs and lows, the tides, our lives it all unfolds, universe behold","2439, 1113, 1696, 8980, 5448, 5404, 8325, 6182, 8728",7.5,,
strangers,"Two strangers gaze in her silver light, the stars are our witness, her voice is our guide, in and out, day and night only the cosmos knows, ancient cosmic design","8576, 4000, 6615, 8705, 8977, 2574, 4453, 2631, 6887, 5630, 3605",7.5,,
vibrations,"a comet through the night, spinning through infinity, dancing with the moon",,7.5,,
cosmos2,"only the cosmos knows, she knows, symbols of ancient design, strangers dancing in the night",,7.5,,
p4,"A tether eternal intertwined, a whisper a vision of timeless design",0001,7.5,,
