,scene,duration,section,start
1,crumbles_aerial_higher,1,1,crumbles_aerial_higher_866719794988379
2,crumbles_aerial,1,1,
3,crumbles_1,1,1,
4,cyclepocalypse,1,1,cyclepocalypse_4805460261488066
5,cycle_red,1,1,
6,cycle_orange,0,1,
7,cyclepocalypse_plume,0,1,
8,cycle_yellow_plume,0,1,
9,cycle_red_plume,1,1,
10,chasm,2,2,chasm_5394618332705930
11,chasm_purple,3,2,
12,cycle_green_plume,3,2,
13,cycle_purple_plume,1,2,
14,cycle_blue_plume,0,2,
15,smoke_attack_pink,1,2,
16,cycle_pink_plume,0,2,
17,cycle_dark,0,2,
18,swamp_sinking_plume,0,2,
19,swamp_sinking_plume_silhouette,0,2,
20,sinking3,0,3,
21,envelop,0,3,envelop2_6329813242655007
22,meld,1,3,
23,meld2,2,3,
24,scary_forest,0,3,
25,scary_forest2,1,3,
26,sinking,1,3,
27,sinking2,1,3,
28,hopeful_tree,1,3,
29,hopeful_tree_pic,0,3,
30,energtree,1,3,energtree_5838001646736893
31,energtree3,1,3,
32,rejuvenation,1,3,
33,burst,2,4,
34,burst_city_green,2,4,
35,burst_city_red,2,4,
36,burst_city_red_2,2,4,
37,burst_city_blue,2,4,burst_city_blue_7438893571467501
39,crumbles_pt2,0,4,
40,growth,1,5,
41,solarpunk3,2,5,solarpunk3_89621439917054
42,solarpunk2,0,5,
43,solarpunk4,0,5,
44,solarpunk,1,5,
45,solarpunk_art,1,5,
46,solarpunk_radio,1,5,
47,solarpunk5,1,5,
48,treestory_la1,1,6,treestory_la1_7097584302044294
49,treestory_la2,1,6,
50,treestory_la3,2,6,
51,treestroy_art,1,6,
52,skyline,2,6,
53,skyflower,0,6,
54,solarflower,1,6,
