name,prompt,seeds,guidance_scale
valley,"photographic quality picture, stream in a valley, mountains on sides covered by tall pine trees, several layers of mountains disappearying in the distance, cloud shadows on the ground, blue sky bright with puffy white clouds in the sky, atmospheric perspective, ultrafine brush strokes texture fractal",6381620442422450 7126607602181405 2286658748399414 8542499442632184 3689061872252050 5566147251894901 6294628128210838 8434880026693881 4758595418041113,7.5
lightning strike,"lightning strike from the sky striking a tree goddess in a forest, tall oak tree with a face texutured like bark, ent goddess catching fire, fire, at night, dark",2346348479976630 6027759062056154 850551522839502 1791298955493461 7903451982182457 917230731816142 2231931765064434 6272723192462037 6632834328510087 98595233735319 7301501791732849 6559223644623674,7.5
forest fire,"forest fire, evergreen trees on fire, ashes flying through the air, a fire fractal at night",8533030635237858 5448825615217470 2174051644459981 72183006328119 3205792700109464 7740643443169253 2245682209388499 8758555256907833 8589096529586111 6148545667410741 1469552865003767 2302048704908979 3307641058322379 7159715978072135 3430810189404646,7.5
fire tornado,"fire tornado, goddess face on tornado, goddess over the forest, evergreen trees on fire, ashes flying through the air, fire tornado above forest dark sky background",3594319361379389 2626419631345717 8754687946479554 6464781401669232 5889391190190898 6701879799617275 8250022100862465 7982337464173283 1832555982900187 1570259509559672 1662029186765710 7660963676071401 4265826264133396 7157892248139312 502371597463192 8006123276650894 5027972272501316 6818569641379271 2227006964235011 2837315053418753 1481897729957721 5455490631061034 7853619520063405 1650795952279918 317599784077563 8274834525313070,7.5
flood,"flood goddess putting out a forest fire, blue water goddess deluge flowing white rapids, blackened trees, burnt charcoal, smokey gray air, haze",7457513500184700 4110182572027837 7148737214659347 1233354296688131 7816847713895480 860984760615250 906922074288146 4656924844930967 1947730460410930 7633202218589222 1994715579896238 3946635492557823 1964623625343512 9006264050842235 4678605053340114,7.5
rain,"rain goddess face textured like a cloud, cloud with face raining heavily, rain falling from the cloud in the sky onto a forest fire",7201716496534890 3554358204098273 3239118557101418,7.5
rain2,"cloud goddess with cloud texture, goddess rain falling from the goddess, goddess rain storm rolling, gray smoke rising from forest fire in background",2418624769003013 540458254247594 479878843130033 6478561803444227,7.5
rain3,"cloud goddess with rain texture, grieving, goddess rain falling from the goddess, above a forest, fire and smoke, goddess rain storm rolling, gray smoke rising from forest fire in background",5263454804527630 4138535697330303 5889895486637676 5732246067289277 3147637077315985 52920887815373 3607336321526381 5383605798501632 5482892812711108,7.5
rain4,"marble style, cloud goddess with rain texture, grieving, goddess rain falling from the goddess, above a forest, fire and smoke, goddess rain storm rolling, gray smoke rising from forest fire in background",2339490997793270 4294170959337294 2210836906024857 3952829748635568 7585712937230066 7400639424904511 3889872330054908 3388668789110120 5181252261482599 7821984900038469 8275149881110515 1577726050709838 2757898139545512 7956140147957440 6274678258927151 6641495765342002 5733612611566624 347400965057640 8549680648419609 761871848606958 6388926570751621 99539105304621 348285847760904 848448192245688 8653752570697134 1556087014019432 8061483288688048 6272192329908400,7.5
cloud intro,"realistic oil painting, cloud with a woman's face over a stream in a valley, face with cloud texture and color, cloud goddess, mountains on sides covered by tall pine trees several layers of mountains disappearing in the distance, gray sky bright with fractal puffy white clouds in the sky, atmospheric perspective, face is three fourths of image",3661915331447720 1785114305219779 8089486717962841 1799187962875583 5315896060330767 6516424463017261 2925027558479316 8686893806349222 6937506309317393,7.5
