,scene,duration,section,start," ",
0,s1,1,1,bleak forest2_2899770869406428,,
1,s2,1,1,,,
1,s3,1,1,spring forest3_6801757485069491,,
1,s3.5,0,1,,,
1,s4,0,1,spring forest4_1303436340132161,,
1,s5,0,1,,,
2,s6,0,1,,,
2,s7,0,1,,,
2,s8,1,2,ent goddess2_1426875286788213,,
2,s9,1,2,ent goddess2_4016655062336258,,
1,s10,1,2,ent goddess2_7670995516103687,,
,s10.5,1,2,ent goddess2_8821106089741122,,
1,s11,1,2,ent goddess2_5654998288222874,,
1,s11.5,1,3,valley_8542499442632184,,
1,s12,0,4,cloud goddess4_4440928485516274,,
1,s14,0,4,cloud goddess6_4864640377489058,,
6,s15,0,4,cloud goddess6_567044355280888,,
6,s16,0,5,,,
6,s19,0,5,lightning godesss2_3447052294915050,,
7,s21,0,5,,,
7,s22,1,5,lightning godesss4_4148430768203873,,
7,s23,0,5,,,
8,s25,0,5,,,
8,s26,0,5,lightning strike_6632834328510087,,
9,s28,1,6,,,
9,s29,0,6,,,
9,s31,1,7,,,
9,s32,1,7,fire tornado_7853619520063405,,
9,s34,1,7,,,
9,s35,0,8,,,
9,s37,0,8,rain_7201716496534890,,
9,s39,0,8,,,
9,s40,0,8,,,
9,s41,0,8,,,
9,s42,0,8,,,
