,scene,duration,section,start," ",
0,s1,2,1,bleak forest2_8975679782262008,,
1,s2,1,1,spring forest2_1905635882214314,,
1,s3,1,1,spring forest3_6801757485069491,,
1,s3.5,1,1,spring forest3_7443097691214250,,
1,s4,1,1,spring forest4_4553961350595393,,
1,s5,1,1,,,
2,s6,1,1,,,
2,s7,1,1,spring forest4_5636900655158824,,
2,s8,1,2,ent goddess2_4175050655022295,,
2,s9,2,2,ent goddess2_2442226247031280,,
1,s10,2,2,ent goddess2_3277683223380021,,
,s10.5,1,2,,,
1,s11,2,2,ent goddess2_5654998288222874,,
1,s11.5,4,3,valley_8434880026693881,,
1,s12,1,4,cloud goddess4_4750008663019789,,
1,s14,1,4,cloud goddess6_4864640377489058,,
6,s15,1,4,cloud goddess6_567044355280888,,
6,s16,1,5,lightning godesss2_1591535879946960,,
6,s19,1,5,lightning godesss2_3447052294915050,,
7,s21,1,5,,,
7,s22,2,5,lightning godesss3_2486119293219746,,
7,s23,1,5,lightning godesss4_8818386979077738,,
8,s25,1,5,lightning godesss5_7400327254726409,,
8,s26,1,5,lightning strike_2231931765064434,,
9,s28,2,6,forest fire_6148545667410741,,
9,s29,3,6,forest fire_3205792700109464,,
9,s31,3,7,fire tornado_5027972272501316,,
9,s32,3,7,fire tornado_7853619520063405,,
9,s34,2,7,fire tornado_7660963676071401,,
9,s35,3,8,rain2_6478561803444227,,
9,s37,2,8,rain4_348285847760904,,
9,s39,1,8,flood_906922074288146,,
9,s40,1,8,flood_3946635492557823,,
9,s41,1,8,rain4_1556087014019432,,
9,s42,1,8,rain4_3889872330054908,,
