,scene,duration,section,start," ",
0,s1,4,1,bleak forest2_8954034932996684,,
1,s2,4,1,spring forest_2444218207884963,,
1,s3,4,1,spring forest4_1827424433162302,,
1,s3.5,4,1,spring forest4_6390837918266757,,
1,s4,4,1,spring forest4_5863521839649185,,
1,s5,4,1,spring forest4_1391791963746917,,
2,s6,4,1,spring forest4_5516960965052350,,
2,s7,4,1,spring forest4_3726631774215371,,
2,s8,4,2,ent goddess2_7467247711546430,,
2,s9,4,2,ent goddess2_3225283580510398,,
1,s10,4,2,ent goddess2_5465206501829727,,
,s10.5,4,2,ent goddess2_6431073121883031,,
1,s11,4,2,ent goddess2_247251896395648,,
1,s11.5,4,3,valley_6294628128210838,,
1,s12,4,4,cloud goddess4_6660154001155934,,
1,s14,4,4,cloud goddess5_8732083924873385,,
6,s15,4,4,cloud goddess6_3588731861954141,,
6,s16,4,5,lightning godesss2_1591535879946960,,
6,s19,4,5,lightning godesss2_253143327824513,,
7,s21,4,5,lightning godesss3_1097006573722817,,
7,s22,4,5,lightning godesss3_8169456068168721,,
7,s23,4,5,lightning godesss4_6020942962178808,,
8,s25,4,5,lightning godesss5_5332589249539080,,
8,s26,4,5,lightning strike_98595233735319,,
9,s28,4,6,forest fire_1469552865003767,,
9,s29,4,6,forest fire_2174051644459981,,
9,s31,4,7,fire tornado_7982337464173283,,
9,s32,4,7,fire tornado_6818569641379271,,
9,s34,4,7,fire tornado_4265826264133396,,
9,s35,4,8,rain4_761871848606958,,
9,s37,4,8,rain_3554358204098273,,
9,s39,4,8,flood_860984760615250,,
9,s40,4,8,flood_9006264050842235,,
9,s41,4,8,rain4_6274678258927151,,
9,s42,4,8,rain4_7821984900038469,,
