,scene,duration,section,start
25,geo_simple1_1,2,1,random
31,geo_simple1_2,2,1,
18,geo_simple1_3,2,1,
26,geo_simple2_1,2,1,
27,geo_simple2_2,2,1,
33,geo_simple2_3,2,1,
32,geo_simple3_1,2,1,
10,geo_simple3_2,2,1,
1,geo_simple3_3,2,1,
23,portal0,2,1,
6,portal1,2,1,
20,portal2,2,1,
21,portal3,2,1,
12,portal4,2,1,
17,portal5,2,1,
14,geo1_1,2,1,
2,geo1_2,0,1,
16,geo1_3,2,1,
29,geo1_4,0,1,
22,geo1_5,2,1,
15,geo1_6,0,1,
9,geo2_1,2,1,
13,geo2_2,0,1,
8,geo2_3,2,1,
5,geo2_4,0,1,
3,geo2_5,2,1,
19,geo2_6,0,1,
24,geo3_1,2,1,
34,geo3_2,0,1,
11,geo3_3,2,1,
30,geo3_4,0,1,
7,geo3_5,2,1,
4,geom1_1,0,1,
28,geom1_2,2,1,
0,geom1_3,0,1,
