0,scene,duration,section,start
18,infinistair1,1,1,random
22,infinistair2,1,1,random
23,infinistair3,1,1,random
19,infinistair4,1,1,random
24,infinistair5,1,1,random
21,infinistair6,1,1,random
4,infinistair7,1,1,random
14,infinistair8,1,1,random
29,infinistair9,1,1,random
25,infinistair10,1,1,random
5,infinistair11,1,1,random
12,infinistair12,1,1,random
6,infinistair13,1,1,random
20,infinistair14,1,1,random
8,infinistair15,1,1,random
2,infinistair16,1,1,random
15,infinistair17,1,1,random
16,infinistair18,1,1,random
0,infinistair19,1,1,random
13,infinistair20,1,1,random
7,infinistair_vine0,1,1,random
1,infinistair_vine1,1,1,random
10,infinistair_vine2,1,1,random
3,infinistair_vine3,1,1,random
9,infinistair_vine4,1,1,random
31,infinistair_vine5,1,1,random
32,infinistair_vine6,1,1,random
33,infinistair_vine7,1,1,random
34,infinistair_vine8,1,1,random
,infinistair_vine9,1,1,random
,infinistair_vine10,1,1,random
,infinistair_vine11,1,1,random
,infinistair_vine12,1,1,random
,infinistair_vine13,1,1,random
,infinistair_vine14,1,1,random
,infinistair_vine15,1,1,random
,infinistair_vine16,1,1,random
,infinistair_vine17,1,1,random
,infinistair_vine18,1,1,random
