name,prompt,seeds,guidance_scale
microcell,"photographic, microscopic plant cells, stained color image, scientific, spiral of colors",7704561972159688 3589741367149659 4132240179861501 2534264249923470 443991426530205 3192848823470139,7.5
fern,"painting, impressionism, fern curl close up, fiddlehead, green fern in the forest, close up curl on leaves",2226035099749296 632706182691463,7.5
fern2,"painting, impressionism, fern curl close up, curl, spiral fern close up, fiddlehead, green fern in the forest, close up curl on leaves",3181689683833136 632706182691463 3778282809503344 6181443990749954 3153351682974052,7.5
chameleon,"art nouveau, chameleon tail curled up, tail spiral, purple chameleon on a log, leaves toward edge of frame",2204318904835878 7028469322525859 4087178717767255 1698680295521335 2781802239773711 3391931859220021 7758285805964384 8036773593241200,7.5
romanesco,"photography, romanesco close up",3745266184739067 3111751948366158 4971108180012947 1659791509055839 7940206129525188 5863609221384219 4038608624495123,7.5
sunflower,"center of sunflower, close up, yellow petals, blue sky",5340669853330060 2732021544841623 4538969850988016 5413391748357857 731709445984636 5255501974700149 4946009910562756,7.5
nautilus,"photograph, conch nautilus shell, cross section of nautilus shell",7784312138106912 2632688091154320 1881348865912611,7.5
nautilus2,"photograph, conch nautilus shell close up on beach, spiral pattern shell",1248804484045881 2665055045155589 7465299912080968 8699536241568741,7.5
wood,"wood grain spiral, complex tree rings, stained wood",3947629987982090 6592158378198289 4413198618521960 1060035836978660 539519834201954 5097551804335277,7.5
hurricane,hurricane from space,8535633408094840 5492461790698747 2375819561855843,7.5
hurricane2,"multiple hurricanes from space, spiral of hurricanes",1551902565337847 4803294011610547 383467675449294,7.5
galaxy,spiral galaxy,3465990629176810 8999876512042888 3284773783961787 6061807517716738 2443981337660528 4632702044449526 4881469296302265,7.5
snail,"cartoon, snail with spiral shell on a leaf in the forest, dew droplets",5803506727819577 5117650826370662 2315895965214290,7.5
snail2,cartoon snail on a leaf,7330839629614470 7104585935356694 156368649791473 6709505187776518 8926797057846187 2569386039915642,7.5
cactus,"illustration, succulent, spiral pattern in petals, cactus, blue hue",5726837461784288 7326642719592112 8271149109735176 4100871026397613 1270711203484940 8046627949110866 6210074509875324 6236553283957489,7.5
,,,
