name,prompt,seeds,guidance_scale
sea robot siege 1,"army of various robot sea monsters, catapults laying siege to a smoking city, aerial view surrounding the smoldering walls of Constantinople, atlantis, bioshock, in the style of The Elephants by Salvador Dali, style of heavy metal the movie, blue",5182330954752209 334184349241288,7.5
sea robot siege 2,"robot armies fighting with laser pistols, sytle of salvador dali, a large group of sea people standing in front of a castle, a detailed matte painting, by Artur Tarnowski, large scale battle, trampling an ancient city, hyper-realistic",1878558593600852,7.5
sea robot siege 3,"robot armies fighting with laser pistols, sytle of salvador dali, a large group of people standing in front of a city, a detailed matte painting, by Christophe Vacher, cgsociety, antipodeans, destroying the walls, still image from game of thrones, dust and blood in the air, catapults, in the middle of the battlefield, keyframe illustration",684805382478854,7.5
sea robot siege 4,"blue tidal waves in the distance, robot army, jellyfish, star wars laser beams, sytle of salvador dali, a large group of people standing in front of a city, a detailed matte painting,cgsociety, antipodeans, destroying the walls, dust and blood in the air, catapults, in the middle of the battlefield, keyframe illustration",7575365931752249,7.5
,,,
roiling sea,realistic photography art of the ocean zoomed in on roiling waves close up bubbles with white foam looking top down with dark lighting undertones,241427415206362 8525396860514958,7.5
red eye depth,realistic photography art of the ocean zoomed in on deep black roiling waves close up thin white foam on the surface with a red eye underwater with black iris dark lighting undertones medium red eye with black iris and eyelid in the center of the frame,7903125207733128,7.5
red eye depth2,realistic photography art of the ocean zoomed in on deep black roiling waves close up thin white foam on the surface with a red eye underwater dark lighting undertones medium red eye with black iris and eyelid in the center of the frame,3489535073209514 352836976540513,7.5
red eye depth3,realistic photography of the ocean zoomed in on deep black roiling waves close up thin white foam on the surface with a red eye underwater dark lighting undertones medium red eye with black iris and eyelid in the center of the frame,4928293349930688,50
red eye depth4,realistic photography comic art of the ocean zoomed in on deep black roiling waves close up thin white foam on the surface with a red eye underwater dark lighting undertones medium red eye with black iris and eyelid in the center of the frame,8961019198724153 1613804757336012,25
ascending,realistic oil painting robot with long legs and multiple silver shiny plates climbing out of the sea elephant with long legs and multiple silver shiny plates over legs and body with red eyes climbing out of the ocean on stilts high up in the air far away with dark blue color zoomed out climbing onto shore with fog dark lighting mountains in lower third,6877950614852814 1878122358213848 3286188373558187,7.5
ascending2,realistic oil painting robot with long legs marching and multiple silver shiny plates climbing out of the sea elephant with long legs and multiple silver shiny plates over legs and body with red eyes climbing out of the ocean on stilts high up in the air far away with dark blue color zoomed out climbing onto shore with fog dark lighting mountains in lower third,7823859632332002 2952068160413507 4002490858237372 5730436171501207,7.5
ascending3,realistic oil painting tall robot with long legs and multiple silver shiny plates marching elephant climbing out of the sea with red eyes climbing out of the ocean on stilts high up in the sky far away with dark blue color zoomed out climbing onto shore with fog dark lighting mountains in lower third,7929440066801355 5271047968801971,7.5
