,scene,duration,section,start
0,begin_dummy,1,1,
0,stage_animal1,1,1,
1,stage_animal2,1,1,
2,stage_animal3,1,1,
2,stage_animal4,1,1,random
,stage_animal5,1,1,
,stage_animal6,1,1,
,stage_animal7,1,1,
,stage_animal8,1,1,
,stage_animal9,1,1,
,detroit_house1,1,2,random
,detroit_house2,1,2,
,detroit_house3,1,2,
,detroit_house4,1,2,
,detroit_house5,1,2,random
,detroit_house6,1,2,
,detroit_house7,1,2,
,detroit_house8,1,2,
,detroit_house9,1,2,
,detroit_house10,1,2,
,office1,1,3,random
,office2,2,3,
,office_pixel1,2,3,
,office_pixel2,2,3,
,office_pixel3,2,3,
,nature_doc1,1,4,random
,nature_doc2,1,4,
,nature_doc3,1,4,
,nature_doc4,1,4,
,nature_doc5,1,4,
,nature_doc6,1,4,
,nature_doc7,1,4,
,nature_doc8,1,4,
,nature_doc9,1,4,random
,office_plant,4,4,
,end_dummy,1,4,
